County,Year,Month,Date,Registrations,Total_Registrations
Sligo,2014,Jan,2014-01-01,0,0
Sligo,2014,Feb,2014-02-01,0,0
Sligo,2014,Mar,2014-03-01,0,0
Sligo,2014,Apr,2014-04-01,0,0
Sligo,2014,May,2014-05-01,0,0
Sligo,2014,Jun,2014-06-01,0,0
Sligo,2014,Jul,2014-07-01,0,0
Sligo,2014,Aug,2014-08-01,0,0
Sligo,2014,Sep,2014-09-01,0,0
Sligo,2014,Oct,2014-10-01,0,0
Sligo,2014,Nov,2014-11-01,0,0
Sligo,2014,Dec,2014-12-01,0,0
Sligo,2015,Jan,2015-01-01,0,0
Sligo,2015,Feb,2015-02-01,1,1
Sligo,2015,Mar,2015-03-01,0,1
Sligo,2015,Apr,2015-04-01,0,1
Sligo,2015,May,2015-05-01,0,1
Sligo,2015,Jun,2015-06-01,0,1
Sligo,2015,Jul,2015-07-01,0,1
Sligo,2015,Aug,2015-08-01,0,1
Sligo,2015,Sep,2015-09-01,0,1
Sligo,2015,Oct,2015-10-01,0,1
Sligo,2015,Nov,2015-11-01,0,1
Sligo,2015,Dec,2015-12-01,0,1
Sligo,2016,Jan,2016-01-01,1,2
Sligo,2016,Feb,2016-02-01,2,4
Sligo,2016,Mar,2016-03-01,1,5
Sligo,2016,Apr,2016-04-01,0,5
Sligo,2016,May,2016-05-01,0,5
Sligo,2016,Jun,2016-06-01,0,5
Sligo,2016,Jul,2016-07-01,0,5
Sligo,2016,Aug,2016-08-01,0,5
Sligo,2016,Sep,2016-09-01,0,5
Sligo,2016,Oct,2016-10-01,1,6
Sligo,2016,Nov,2016-11-01,0,6
Sligo,2016,Dec,2016-12-01,0,6
Sligo,2017,Jan,2017-01-01,0,6
Sligo,2017,Feb,2017-02-01,0,6
Sligo,2017,Mar,2017-03-01,0,6
Sligo,2017,Apr,2017-04-01,0,6
Sligo,2017,May,2017-05-01,0,6
Sligo,2017,Jun,2017-06-01,0,6
Sligo,2017,Jul,2017-07-01,1,7
Sligo,2017,Aug,2017-08-01,1,8
Sligo,2017,Sep,2017-09-01,0,8
Sligo,2017,Oct,2017-10-01,0,8
Sligo,2017,Nov,2017-11-01,0,8
Sligo,2017,Dec,2017-12-01,0,8
Sligo,2018,Jan,2018-01-01,2,10
Sligo,2018,Feb,2018-02-01,1,11
Sligo,2018,Mar,2018-03-01,0,11
Sligo,2018,Apr,2018-04-01,1,12
Sligo,2018,May,2018-05-01,1,13
Sligo,2018,Jun,2018-06-01,1,14
Sligo,2018,Jul,2018-07-01,1,15
Sligo,2018,Aug,2018-08-01,2,17
Sligo,2018,Sep,2018-09-01,1,18
Sligo,2018,Oct,2018-10-01,0,18
Sligo,2018,Nov,2018-11-01,1,19
Sligo,2018,Dec,2018-12-01,0,19
Sligo,2019,Jan,2019-01-01,6,25
Sligo,2019,Feb,2019-02-01,3,28
Sligo,2019,Mar,2019-03-01,1,29
Sligo,2019,Apr,2019-04-01,2,31
Sligo,2019,May,2019-05-01,1,32
Sligo,2019,Jun,2019-06-01,0,32
Sligo,2019,Jul,2019-07-01,7,39
Sligo,2019,Aug,2019-08-01,4,43
Sligo,2019,Sep,2019-09-01,1,44
Sligo,2019,Oct,2019-10-01,1,45
Sligo,2019,Nov,2019-11-01,2,47
Sligo,2019,Dec,2019-12-01,0,47
Sligo,2020,Jan,2020-01-01,10,57
Sligo,2020,Feb,2020-02-01,2,59
Sligo,2020,Mar,2020-03-01,3,62
Sligo,2020,Apr,2020-04-01,0,62
Sligo,2020,May,2020-05-01,1,63
Sligo,2020,Jun,2020-06-01,0,63
Sligo,2020,Jul,2020-07-01,12,75
Sligo,2020,Aug,2020-08-01,5,80
Sligo,2020,Sep,2020-09-01,8,88
Sligo,2020,Oct,2020-10-01,4,92
Sligo,2020,Nov,2020-11-01,0,92
Sligo,2020,Dec,2020-12-01,0,92
Sligo,2021,Jan,2021-01-01,17,109
Sligo,2021,Feb,2021-02-01,20,129
Sligo,2021,Mar,2021-03-01,11,140
Sligo,2021,Apr,2021-04-01,17,157
Sligo,2021,May,2021-05-01,14,171
Sligo,2021,Jun,2021-06-01,3,174
Sligo,2021,Jul,2021-07-01,36,210
Sligo,2021,Aug,2021-08-01,8,218
Sligo,2021,Sep,2021-09-01,12,230
Sligo,2021,Oct,2021-10-01,11,241
Sligo,2021,Nov,2021-11-01,2,243
Sligo,2021,Dec,2021-12-01,1,244
Sligo,2022,Jan,2022-01-01,51,295
Sligo,2022,Feb,2022-02-01,26,321
Sligo,2022,Mar,2022-03-01,26,347
Sligo,2022,Apr,2022-04-01,13,360
Sligo,2022,May,2022-05-01,9,369
Sligo,2022,Jun,2022-06-01,1,370
Sligo,2022,Jul,2022-07-01,38,408
Sligo,2022,Aug,2022-08-01,19,427
Sligo,2022,Sep,2022-09-01,17,444
Sligo,2022,Oct,2022-10-01,6,450
Sligo,2022,Nov,2022-11-01,1,451
Sligo,2022,Dec,2022-12-01,0,451
Sligo,2023,Jan,2023-01-01,44,495
Sligo,2023,Feb,2023-02-01,41,536
Sligo,2023,Mar,2023-03-01,27,563
Sligo,2023,Apr,2023-04-01,17,580
Sligo,2023,May,2023-05-01,18,598
Sligo,2023,Jun,2023-06-01,13,611
Sligo,2023,Jul,2023-07-01,56,667
Sligo,2023,Aug,2023-08-01,17,684
Sligo,2023,Sep,2023-09-01,23,707
Sligo,2023,Oct,2023-10-01,4,711
Sligo,2023,Nov,2023-11-01,1,712
Sligo,2023,Dec,2023-12-01,0,712
Sligo,2024,Jan,2024-01-01,72,784
Sligo,2024,Feb,2024-02-01,13,797
Sligo,2024,Mar,2024-03-01,17,814
Sligo,2024,Apr,2024-04-01,12,826
Sligo,2024,May,2024-05-01,8,834
Sligo,2024,Jun,2024-06-01,1,835
Sligo,2024,Jul,2024-07-01,35,870
Sligo,2024,Aug,2024-08-01,,
Sligo,2024,Sep,2024-09-01,,
Sligo,2024,Oct,2024-10-01,,
Sligo,2024,Nov,2024-11-01,,
Sligo,2024,Dec,2024-12-01,,
Roscommon,2014,Jan,2014-01-01,0,0
Roscommon,2014,Feb,2014-02-01,0,0
Roscommon,2014,Mar,2014-03-01,0,0
Roscommon,2014,Apr,2014-04-01,0,0
Roscommon,2014,May,2014-05-01,0,0
Roscommon,2014,Jun,2014-06-01,0,0
Roscommon,2014,Jul,2014-07-01,0,0
Roscommon,2014,Aug,2014-08-01,0,0
Roscommon,2014,Sep,2014-09-01,0,0
Roscommon,2014,Oct,2014-10-01,0,0
Roscommon,2014,Nov,2014-11-01,0,0
Roscommon,2014,Dec,2014-12-01,0,0
Roscommon,2015,Jan,2015-01-01,0,0
Roscommon,2015,Feb,2015-02-01,1,1
