Territory,County,Address,Max.Sim.CCS,Max.Sim.CHAd eMo,Max.Sim.Fast AC,Max.Sim. AC Socket,CCS kWs,CHAd eMO kWs,AC Fast kWs,AC Socket kWs,Latitude,Longitude,Open Hours,Route / Exit
RoI,Carlow,"The Parade, Bagenalstown",0,0,0,2,,,,22(2),52.702794,-6.955983,24 x 7,
,,"Tesco Carlow, Fairgreen Shopping Centre,",,,,,,,,,,,,
RoI,Carlow,"Carlow, Carlow",0,0,0,2,,,,22(2),52.834672,-6.922117,24 x 7,
,,"Four Lakes Retail Park, Dublin Road, Carlow",,,,,,,,,,,,
RoI,Carlow,Town,1,1,1,0,50,50,43,,52.846593,-6.902268,24 x 7,
RoI,Carlow,"Irish Rail, Railway Road, Carlow Town",0,0,0,2,,,,22(2),52.841045,-6.923077,24 x 7,
,,"Town Hall Car Park, Off Barrow Track, Carlow",,,,,,,,,,,,
RoI,Carlow,Town,0,0,0,2,,,,22(2),52.837679,-6.933489,24 x 7,
RoI,Carlow,"Public Car Park, Kennedy Street, Carlow Town",0,0,0,2,,,,22(2),52.836223,-6.933315,24 x 7,
,,"Hanover Bus Car Park, Barrack Street, Carlow",,,,,,,,,,,,
RoI,Carlow,Town,4,0,0,100(4),,,,,52.833492,-6.927016,24 x 7,
RoI,Carlow,"Inner Relief Road, Tullow",0,0,0,2,,,,22(2),52.801581,-6.736986,24 x 7,
RoI,Carlow,"Tesco Tullow, Abbey St, Templeowen, Tullow",0,0,0,2,,,,22(2),52.800607,-6.738443,24 x 7,
RoI,Cavan,"Main Street, Bailieborough",0,0,0,2,,,,22(2),53.917571,-6.972487,24 x 7,
,,"Tesco Superstore, Thomas St, Beckscourt,",,,,,,,,,,,,
RoI,Cavan,"Bailieborough, Co. Cavan, Bailieborough",0,0,0,2,,,,22(2),53.917492,-6.968299,24 x 7,
RoI,Cavan,"The Grove, Ballyjamesduff",0,0,0,2,,,,22(2),53.86385,-7.204457,24 x 7,
,,"Off Farnham Street, Cavan Circuit Court",,,,,,,,,,,,
RoI,Cavan,"Carpark, Cavan Town",1,1,0,1,50,50,,22,53.99358,-7.361327,24 x 7,
RoI,Cavan,"Dublin Road, Cavan Town",0,0,0,2,,,,22(2),53.985547,-7.359682,24 x 7,
RoI,Cavan,"Market Street, Cootehill",0,0,0,2,,,,22(2),54.075084,-7.079692,24 x 7,
RoI,Cavan,"Cavan Townhall, Townhall Street",2,0,0,100(2),,,,,53.991275,-7.36233,24 x 7,
,,"Public Car Park, Off Abbey Street & Bank Place,",,,,,,,,,,,,
RoI,Clare,Ennis,0,0,0,2,,,,22(2),52.845081,-8.98337,24 x 7,
RoI,Clare,"Circle K Ennis, Limerick Road, Ennis",1,1,1,0,50,50,43,,52.83078,-8.979003,24 x 7,
RoI,Clare,"Public Car Park, East End, Kilkee",1,1,0,0,100,50,,,52.683379,-9.647069,24 x 7,
RoI,Clare,"Tesco Kilrush,Ennis Rd, Kilrush Co. Clare, Kilrush",0,0,0,2,,,,22(2),52.642286,-9.477311,24 x 7,
,,"Public Car Park, N67/Milltown Malbay Road,",,,,,,,,,,,,
RoI,Clare,Lahinch,1,1,0,1,50,50,22,52.928911,-9.346292,24 x 7,N67 N67,
RoI,Clare,"Hydro Hotel, Main Street, Lisdoonvarna",0,0,0,2,,,22(2),53.027069,-9.290289,24 x 7,,
,,"Supervalu Car Park, Ennis Road, Miltown",,,,,,,,,,,,
RoI,Clare,Malbay,0,0,0,2,,,22(2),52.854144,-9.398487,24 x 7,,
